source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[diagnosis]	characteristics[sample type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[patient ID]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identiier]	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[data file]	comment[uri]	comment[database]	factor value[organism part]
PXD047742-Sample-35	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	35	CD8 T cell-35	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_5.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_5.raw	MASSIVE	CD8 T cell
PXD047742-Sample-36	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	36	CD8 T cell-36	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_6.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_6.raw	MASSIVE	CD8 T cell
PXD047742-Sample-37	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	37	CD8 T cell-37	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_7.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_7.raw	MASSIVE	CD8 T cell
PXD047742-Sample-38	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	38	CD8 T cell-38	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_8.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_8.raw	MASSIVE	CD8 T cell
PXD047742-Sample-39	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	39	CD8 T cell-39	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_9.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_9.raw	MASSIVE	CD8 T cell
PXD047742-Sample-40	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	40	CD8 T cell-40	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_10.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_10.raw	MASSIVE	CD8 T cell
PXD047742-Sample-41	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	41	CD8 T cell-41	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_11.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_11.raw	MASSIVE	CD8 T cell
PXD047742-Sample-42	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	42	CD8 T cell-42	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_12.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_12.raw	MASSIVE	CD8 T cell
PXD047742-Sample-43	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	43	CD8 T cell-43	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_13.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_13.raw	MASSIVE	CD8 T cell
PXD047742-Sample-44	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	44	CD8 T cell-44	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_14.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_14.raw	MASSIVE	CD8 T cell
