source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[sample identifier]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	comment[proteomexchange accession number]	comment[data file]	assay name	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[batch identifier]
PXD004352-Sample-21	Homo sapiens	Blood	Blood	Basophil	not available	not available	not available	normal	Basophil_01 (steady-state)	adult	1	1	PXD004352	Basophil_01 (steady-state).raw	Basophil_Steady state-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/Basophil_01 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-22	Homo sapiens	Blood	Blood	Basophil	not available	not available	not available	normal	Basophil_02 (steady-state)	adult	2	2	PXD004352	Basophil_02 (steady-state).raw	Basophil_Steady state-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/Basophil_02 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-23	Homo sapiens	Blood	Blood	Basophil	not available	not available	not available	normal	Basophil_03 (steady-state)	adult	3	3	PXD004352	Basophil_03 (steady-state).raw	Basophil_Steady state-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/Basophil_03 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-24	Homo sapiens	Blood	Blood	Basophil	not available	not available	not available	normal	Basophil_04 (steady-state)	adult	4	4	PXD004352	Basophil_04 (steady-state).raw	Basophil_Steady state-4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/Basophil_04 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-25	Homo sapiens	Blood	Blood	T4 Effector Memory Cells	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_01	adult	1	1	PXD004352	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_01.raw	T4 Effector Memory Cells_RA_Negative-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_01.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-26	Homo sapiens	Blood	Blood	T4 Effector Memory Cells	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_02	adult	2	2	PXD004352	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_02.raw	T4 Effector Memory Cells_RA_Negative-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_02.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-27	Homo sapiens	Blood	Blood	T4 Effector Memory Cells	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_03	adult	3	3	PXD004352	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_03.raw	T4 Effector Memory Cells_RA_Negative-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_TCD4emra_n_03.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-28	Homo sapiens	Blood	Blood	T4 Effector Memory Cells	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_01	adult	1	1	PXD004352	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_01.raw	T4 Effector Memory Cells_RA_Positive-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_01.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-29	Homo sapiens	Blood	Blood	T4 Effector Memory Cells	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_02	adult	2	2	PXD004352	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_02.raw	T4 Effector Memory Cells_RA_Positive-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_02.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-30	Homo sapiens	Blood	Blood	T4 Effector Memory Cells	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_03	adult	3	3	PXD004352	20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_03.raw	T4 Effector Memory Cells_RA_Positive-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_TCD4emra_p_03.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
